,train,val,test
tumor_085,True,False,False
tumor_086,True,False,False
tumor_087,True,False,False
tumor_089,True,False,False
tumor_090,True,False,False
tumor_091,True,False,False
tumor_093,True,False,False
tumor_094,True,False,False
tumor_095,True,False,False
tumor_096,True,False,False
tumor_097,True,False,False
tumor_098,True,False,False
tumor_099,True,False,False
tumor_100,True,False,False
tumor_101,True,False,False
tumor_102,True,False,False
tumor_103,True,False,False
tumor_104,True,False,False
tumor_105,True,False,False
tumor_106,True,False,False
tumor_107,True,False,False
tumor_109,True,False,False
tumor_110,True,False,False
tumor_111,True,False,False
test_081,False,True,False
test_089,False,True,False
normal_140,False,True,False
normal_141,False,True,False
test_015,False,True,False
test_022,False,True,False
test_055,False,True,False
test_059,False,True,False
test_044,False,True,False
test_118,False,True,False
normal_150,False,True,False
test_124,False,True,False
test_023,False,True,False
test_080,False,True,False
test_098,False,True,False
test_034,False,True,False
normal_137,False,True,False
test_047,False,True,False
normal_144,False,True,False
test_036,False,True,False
test_076,False,True,False
test_024,False,True,False
tumor_088,False,True,False
tumor_059,False,True,False
tumor_092,False,True,False
tumor_108,False,True,False
test_065,False,True,False
tumor_034,False,True,False
normal_001,False,False,True
normal_002,False,False,True
normal_003,False,False,True
normal_004,False,False,True
normal_005,False,False,True
normal_006,False,False,True
normal_007,False,False,True
normal_008,False,False,True
normal_009,False,False,True
normal_010,False,False,True
normal_011,False,False,True
normal_012,False,False,True
normal_013,False,False,True
normal_014,False,False,True
normal_015,False,False,True
normal_016,False,False,True
normal_017,False,False,True
normal_018,False,False,True
normal_019,False,False,True
normal_020,False,False,True
normal_021,False,False,True
normal_022,False,False,True
normal_023,False,False,True
normal_024,False,False,True
normal_025,False,False,True
normal_026,False,False,True
normal_027,False,False,True
normal_028,False,False,True
normal_029,False,False,True
normal_030,False,False,True
normal_031,False,False,True
normal_032,False,False,True
normal_033,False,False,True
normal_034,False,False,True
normal_035,False,False,True
normal_036,False,False,True
normal_037,False,False,True
normal_038,False,False,True
normal_039,False,False,True
normal_040,False,False,True
normal_041,False,False,True
normal_042,False,False,True
normal_043,False,False,True
normal_044,False,False,True
normal_045,False,False,True
normal_046,False,False,True
normal_047,False,False,True
normal_048,False,False,True
normal_049,False,False,True
normal_050,False,False,True
normal_051,False,False,True
normal_052,False,False,True
normal_053,False,False,True
normal_054,False,False,True
normal_055,False,False,True
normal_056,False,False,True
normal_057,False,False,True
normal_058,False,False,True
normal_059,False,False,True
normal_060,False,False,True
normal_061,False,False,True
normal_062,False,False,True
normal_063,False,False,True
normal_064,False,False,True
normal_065,False,False,True
normal_066,False,False,True
normal_067,False,False,True
normal_068,False,False,True
normal_069,False,False,True
normal_070,False,False,True
normal_071,False,False,True
normal_072,False,False,True
normal_073,False,False,True
normal_074,False,False,True
normal_075,False,False,True
normal_076,False,False,True
normal_077,False,False,True
normal_078,False,False,True
normal_079,False,False,True
normal_080,False,False,True
normal_081,False,False,True
normal_082,False,False,True
normal_083,False,False,True
normal_084,False,False,True
normal_085,False,False,True
normal_087,False,False,True
normal_088,False,False,True
normal_089,False,False,True
normal_090,False,False,True
normal_091,False,False,True
normal_092,False,False,True
normal_093,False,False,True
normal_094,False,False,True
normal_095,False,False,True
normal_096,False,False,True
normal_097,False,False,True
normal_098,False,False,True
normal_099,False,False,True
normal_100,False,False,True
normal_101,False,False,True
normal_102,False,False,True
normal_103,False,False,True
normal_104,False,False,True
normal_105,False,False,True
normal_106,False,False,True
normal_107,False,False,True
normal_108,False,False,True
normal_109,False,False,True
normal_110,False,False,True
normal_111,False,False,True
normal_112,False,False,True
normal_113,False,False,True
normal_114,False,False,True
normal_115,False,False,True
normal_116,False,False,True
normal_117,False,False,True
normal_118,False,False,True
normal_119,False,False,True
normal_120,False,False,True
normal_121,False,False,True
normal_122,False,False,True
normal_123,False,False,True
normal_124,False,False,True
normal_125,False,False,True
normal_126,False,False,True
normal_127,False,False,True
normal_128,False,False,True
normal_129,False,False,True
normal_130,False,False,True
normal_131,False,False,True
normal_132,False,False,True
